filename,region_count,region_id,x,y
10_18-34-22.000,6,0,28,187
10_18-34-22.000,6,1,47,188
10_18-34-22.000,6,2,51,162
10_18-34-22.000,6,3,86,157
10_18-34-22.000,6,4,113,174
10_18-34-22.000,6,5,150,177
10_18-34-22.179,6,0,28,187
10_18-34-22.179,6,1,48,185
10_18-34-22.179,6,2,52,161
10_18-34-22.179,6,3,87,157
10_18-34-22.179,6,4,116,174
10_18-34-22.179,6,5,150,177
10_18-34-22.500,6,0,28,187
10_18-34-22.500,6,1,47,186
10_18-34-22.500,6,2,52,162
10_18-34-22.500,6,3,86,154
10_18-34-22.500,6,4,115,172
10_18-34-22.500,6,5,151,176
10_18-34-22.999,6,0,24,186
10_18-34-22.999,6,1,43,185
10_18-34-22.999,6,2,50,163
10_18-34-22.999,6,3,82,154
10_18-34-22.999,6,4,114,169
10_18-34-22.999,6,5,144,179
10_18-34-23.159,6,0,24,186
10_18-34-23.159,6,1,43,186
10_18-34-23.159,6,2,48,162
10_18-34-23.159,6,3,84,155
10_18-34-23.159,6,4,110,168
10_18-34-23.159,6,5,143,177
10_18-34-23.313,6,0,23,187
10_18-34-23.313,6,1,42,186
10_18-34-23.313,6,2,49,162
10_18-34-23.313,6,3,85,156
10_18-34-23.313,6,4,110,172
10_18-34-23.313,6,5,144,177
10_18-34-23.485,6,0,25,186
10_18-34-23.485,6,1,42,186
10_18-34-23.485,6,2,48,163
10_18-34-23.485,6,3,85,158
10_18-34-23.485,6,4,112,172
10_18-34-23.485,6,5,145,178
10_18-34-23.801,6,0,24,186
10_18-34-23.801,6,1,42,184
10_18-34-23.801,6,2,50,161
10_18-34-23.801,6,3,84,156
10_18-34-23.801,6,4,113,174
10_18-34-23.801,6,5,144,178
10_18-34-24.322,6,0,24,186
10_18-34-24.322,6,1,40,186
10_18-34-24.322,6,2,48,162
10_18-34-24.322,6,3,83,157
10_18-34-24.322,6,4,112,172
10_18-34-24.322,6,5,144,178
10_18-34-24.598,6,0,24,186
10_18-34-24.598,6,1,40,186
10_18-34-24.598,6,2,48,163
10_18-34-24.598,6,3,82,158
10_18-34-24.598,6,4,112,173
10_18-34-24.598,6,5,146,179
10_18-34-24.912,6,0,25,186
10_18-34-24.912,6,1,41,186
10_18-34-24.912,6,2,48,165
10_18-34-24.912,6,3,84,161
10_18-34-24.912,6,4,113,174
10_18-34-24.912,6,5,145,178
10_18-34-25.068,6,0,25,186
10_18-34-25.068,6,1,40,186
10_18-34-25.068,6,2,50,164
10_18-34-25.068,6,3,86,162
10_18-34-25.068,6,4,113,174
10_18-34-25.068,6,5,145,177
10_18-34-25.396,6,0,23,185
10_18-34-25.396,6,1,40,185
10_18-34-25.396,6,2,48,164
10_18-34-25.396,6,3,90,165
10_18-34-25.396,6,4,112,174
10_18-34-25.396,6,5,144,178
10_18-34-26.546,6,0,24,185
10_18-34-26.546,6,1,41,185
10_18-34-26.546,6,2,50,163
10_18-34-26.546,6,3,83,160
10_18-34-26.546,6,4,112,174
10_18-34-26.546,6,5,144,176
10_18-34-26.851,6,0,23,185
10_18-34-26.851,6,1,42,184
10_18-34-26.851,6,2,48,163
10_18-34-26.851,6,3,86,162
10_18-34-26.851,6,4,112,174
10_18-34-26.851,6,5,144,177
10_18-34-27.345,6,0,22,185
10_18-34-27.345,6,1,41,185
10_18-34-27.345,6,2,48,163
10_18-34-27.345,6,3,86,161
10_18-34-27.345,6,4,111,174
10_18-34-27.345,6,5,144,178
10_18-34-27.517,6,0,24,186
10_18-34-27.517,6,1,41,185
10_18-34-27.517,6,2,48,164
10_18-34-27.517,6,3,86,162
10_18-34-27.517,6,4,111,174
10_18-34-27.517,6,5,144,177
10_18-34-27.869,6,0,24,185
10_18-34-27.869,6,1,41,185
10_18-34-27.869,6,2,49,163
10_18-34-27.869,6,3,84,160
10_18-34-27.869,6,4,112,174
10_18-34-27.869,6,5,143,178
10_18-34-28.619,6,0,24,186
10_18-34-28.619,6,1,41,185
10_18-34-28.619,6,2,48,163
10_18-34-28.619,6,3,86,161
10_18-34-28.619,6,4,111,174
10_18-34-28.619,6,5,144,178
10_18-34-29.109,6,0,23,186
10_18-34-29.109,6,1,40,186
10_18-34-29.109,6,2,49,164
10_18-34-29.109,6,3,83,162
10_18-34-29.109,6,4,112,175
10_18-34-29.109,6,5,145,178
10_18-34-29.278,6,0,24,186
10_18-34-29.278,6,1,42,185
10_18-34-29.278,6,2,50,163
10_18-34-29.278,6,3,88,162
10_18-34-29.278,6,4,114,174
10_18-34-29.278,6,5,145,178
10_18-34-29.430,6,0,23,185
10_18-34-29.430,6,1,41,185
10_18-34-29.430,6,2,50,164
10_18-34-29.430,6,3,86,162
10_18-34-29.430,6,4,114,174
10_18-34-29.430,6,5,145,178
10_18-34-29.608,6,0,23,186
10_18-34-29.608,6,1,42,185
10_18-34-29.608,6,2,50,164
10_18-34-29.608,6,3,84,160
10_18-34-29.608,6,4,115,174
10_18-34-29.608,6,5,147,177
10_18-34-32.418,6,0,24,186
10_18-34-32.418,6,1,41,185
10_18-34-32.418,6,2,46,163
10_18-34-32.418,6,3,81,154
10_18-34-32.418,6,4,108,169
10_18-34-32.418,6,5,141,177
10_18-34-32.738,6,0,23,186
10_18-34-32.738,6,1,40,186
10_18-34-32.738,6,2,43,163
10_18-34-32.738,6,3,78,154
10_18-34-32.738,6,4,109,170
10_18-34-32.738,6,5,140,177
10_18-34-32.897,6,0,22,186
10_18-34-32.897,6,1,40,186
10_18-34-32.897,6,2,44,162
10_18-34-32.897,6,3,78,155
10_18-34-32.897,6,4,110,170
10_18-34-32.897,6,5,139,177
10_18-34-33.051,6,0,22,186
10_18-34-33.051,6,1,41,186
10_18-34-33.051,6,2,44,160
10_18-34-33.051,6,3,79,156
10_18-34-33.051,6,4,108,172
10_18-34-33.051,6,5,140,178
10_18-34-33.232,6,0,23,186
10_18-34-33.232,6,1,41,185
10_18-34-33.232,6,2,45,160
10_18-34-33.232,6,3,80,156
10_18-34-33.232,6,4,108,171
10_18-34-33.232,6,5,141,178
10_18-34-34.019,6,0,24,185
10_18-34-34.019,6,1,40,185
10_18-34-34.019,6,2,44,160
10_18-34-34.019,6,3,78,155
10_18-34-34.019,6,4,108,171
10_18-34-34.019,6,5,140,178
10_18-34-34.193,6,0,23,186
10_18-34-34.193,6,1,40,185
10_18-34-34.193,6,2,43,162
10_18-34-34.193,6,3,77,156
10_18-34-34.193,6,4,107,171
10_18-34-34.193,6,5,140,177
10_18-34-35.036,6,0,24,186
10_18-34-35.036,6,1,40,186
10_18-34-35.036,6,2,44,162
10_18-34-35.036,6,3,80,156
10_18-34-35.036,6,4,109,172
10_18-34-35.036,6,5,140,177
10_18-34-38.492,6,0,24,185
10_18-34-38.492,6,1,41,186
10_18-34-38.492,6,2,44,163
10_18-34-38.492,6,3,83,162
10_18-34-38.492,6,4,109,174
10_18-34-38.492,6,5,140,177
10_18-34-38.640,6,0,24,186
10_18-34-38.640,6,1,40,185
10_18-34-38.640,6,2,45,161
10_18-34-38.640,6,3,82,162
10_18-34-38.640,6,4,109,174
10_18-34-38.640,6,5,142,177
10_18-34-38.787,6,0,23,185
10_18-34-38.787,6,1,40,185
10_18-34-38.787,6,2,45,160
10_18-34-38.787,6,3,82,160
10_18-34-38.787,6,4,108,174
10_18-34-38.787,6,5,141,177
10_18-34-38.948,6,0,22,185
10_18-34-38.948,6,1,39,186
10_18-34-38.948,6,2,43,163
10_18-34-38.948,6,3,79,160
10_18-34-38.948,6,4,108,175
10_18-34-38.948,6,5,141,178
10_18-34-39.106,6,0,24,186
10_18-34-39.106,6,1,40,186
10_18-34-39.106,6,2,43,163
10_18-34-39.106,6,3,83,162
10_18-34-39.106,6,4,111,175
10_18-34-39.106,6,5,140,178
10_18-34-39.261,6,0,25,185
10_18-34-39.261,6,1,40,185
10_18-34-39.261,6,2,44,161
10_18-34-39.261,6,3,84,164
10_18-34-39.261,6,4,110,175
10_18-34-39.261,6,5,142,178
10_18-34-39.414,6,0,25,185
10_18-34-39.414,6,1,41,184
10_18-34-39.414,6,2,44,160
10_18-34-39.414,6,3,81,161
10_18-34-39.414,6,4,106,174
10_18-34-39.414,6,5,142,178
10_18-34-39.784,6,0,24,186
10_18-34-39.784,6,1,41,185
10_18-34-39.784,6,2,43,162
10_18-34-39.784,6,3,80,161
10_18-34-39.784,6,4,108,174
10_18-34-39.784,6,5,142,177
10_18-34-40.597,6,0,24,186
10_18-34-40.597,6,1,40,185
10_18-34-40.597,6,2,44,161
10_18-34-40.597,6,3,79,160
10_18-34-40.597,6,4,110,174
10_18-34-40.597,6,5,140,178
10_18-34-40.744,6,0,24,186
10_18-34-40.744,6,1,42,185
10_18-34-40.744,6,2,44,162
10_18-34-40.744,6,3,80,160
10_18-34-40.744,6,4,108,174
10_18-34-40.744,6,5,140,177
10_18-34-41.072,6,0,24,186
10_18-34-41.072,6,1,41,186
10_18-34-41.072,6,2,44,161
10_18-34-41.072,6,3,80,159
10_18-34-41.072,6,4,111,174
10_18-34-41.072,6,5,142,178
10_18-34-41.226,6,0,24,185
10_18-34-41.226,6,1,41,185
10_18-34-41.226,6,2,42,160
10_18-34-41.226,6,3,81,160
10_18-34-41.226,6,4,108,174
10_18-34-41.226,6,5,141,177
10_18-34-41.679,6,0,24,186
10_18-34-41.679,6,1,40,186
10_18-34-41.679,6,2,44,161
10_18-34-41.679,6,3,81,160
10_18-34-41.679,6,4,108,174
10_18-34-41.679,6,5,142,178
10_18-34-42.957,6,0,24,185
10_18-34-42.957,6,1,41,185
10_18-34-42.957,6,2,51,162
10_18-34-42.957,6,3,82,159
10_18-34-42.957,6,4,116,172
10_18-34-42.957,6,5,149,174
14_18-09-17.988,6,0,158,218
14_18-09-17.988,6,1,142,217
14_18-09-17.988,6,2,141,192
14_18-09-17.988,6,3,106,193
14_18-09-17.988,6,4,78,204
14_18-09-17.988,6,5,38,206
14_18-09-18.160,6,0,157,218
14_18-09-18.160,6,1,142,216
14_18-09-18.160,6,2,141,191
14_18-09-18.160,6,3,106,191
14_18-09-18.160,6,4,78,204
14_18-09-18.160,6,5,40,204
14_18-09-18.347,6,0,158,218
14_18-09-18.347,6,1,142,217
14_18-09-18.347,6,2,142,192
14_18-09-18.347,6,3,106,192
14_18-09-18.347,6,4,80,202
14_18-09-18.347,6,5,39,206
14_18-09-18.504,6,0,158,218
14_18-09-18.504,6,1,142,217
14_18-09-18.504,6,2,141,192
14_18-09-18.504,6,3,105,192
14_18-09-18.504,6,4,76,204
14_18-09-18.504,6,5,39,205
14_18-09-18.658,6,0,157,218
14_18-09-18.658,6,1,142,217
14_18-09-18.658,6,2,142,194
14_18-09-18.658,6,3,106,191
14_18-09-18.658,6,4,77,204
14_18-09-18.658,6,5,39,205
14_18-09-18.848,6,0,158,218
14_18-09-18.848,6,1,142,217
14_18-09-18.848,6,2,141,192
14_18-09-18.848,6,3,105,192
14_18-09-18.848,6,4,77,205
14_18-09-18.848,6,5,39,205
14_18-09-18.994,6,0,157,218
14_18-09-18.994,6,1,141,217
14_18-09-18.994,6,2,142,192
14_18-09-18.994,6,3,106,192
14_18-09-18.994,6,4,79,203
14_18-09-18.994,6,5,38,205
14_18-09-19.170,6,0,158,218
14_18-09-19.170,6,1,142,217
14_18-09-19.170,6,2,142,193
14_18-09-19.170,6,3,107,192
14_18-09-19.170,6,4,80,204
14_18-09-19.170,6,5,38,205
14_18-09-19.328,6,0,158,218
14_18-09-19.328,6,1,142,216
14_18-09-19.328,6,2,142,193
14_18-09-19.328,6,3,106,192
14_18-09-19.328,6,4,79,203
14_18-09-19.328,6,5,38,205
14_18-09-19.508,6,0,157,218
14_18-09-19.508,6,1,141,216
14_18-09-19.508,6,2,142,193
14_18-09-19.508,6,3,106,192
14_18-09-19.508,6,4,79,204
