ID	;	x	;	y	;	score
0	;	118.0000	;	36.0000	;	0.749
1	;	134.0000	;	48.0000	;	0.648
2	;	130.0000	;	50.0000	;	0.561
3	;	106.0000	;	56.0000	;	0.335
4	;	104.0000	;	40.0000	;	0.138
5	;	138.0000	;	46.0000	;	0.835
6	;	108.0000	;	52.0000	;	0.750
7	;	102.0000	;	32.0000	;	0.588
8	;	132.0000	;	104.0000	;	0.705
9	;	122.0000	;	152.0000	;	0.650
10	;	120.0000	;	200.0000	;	0.487
11	;	142.0000	;	104.0000	;	0.725
12	;	124.0000	;	152.0000	;	0.837
13	;	124.0000	;	204.0000	;	0.893
15	;	122.0000	;	32.0000	;	0.828
17	;	132.0000	;	32.0000	;	0.914
